revision,step,trace,trace_std,max_eig,max_eig_std,stable_rank,stable_rank_std
step0,0,-0.61572265625,0.43384623006985457,-0.07499999999999998,1.3877787807814457e-17,49.23610000000001,1.1390067998041096
step1,1,-0.62265625,0.4150248618894151,-0.07499999999999998,1.3877787807814457e-17,48.8541,2.006998677129608
step2,2,-0.7158203125,0.36208983268801564,-0.07499999999999998,1.3877787807814457e-17,49.30559999999999,1.6578028350802148
step4,4,-0.589404296875,0.32083552017127176,-0.07499999999999998,1.3877787807814457e-17,49.2362,1.8296166155782476
step8,8,-0.3716796875,0.5017623740791092,-0.07399999999999998,1.3877787807814457e-17,49.7196,1.7269610418304173
step16,16,0.6564453125,0.2931958104478305,-0.07199999999999998,1.3877787807814457e-17,52.633500000000005,2.5498616138920163
step32,32,4.3109375,0.26372944973258106,0.151,0.0,16.9435,1.5763043646453556
step64,64,7.3,0.8466616428656728,0.26080000000000003,0.00040000000000000034,12.8963,0.8283221655853477
step128,128,6.23125,0.4264680527307996,0.194,0.0,15.1584,1.736562708340819
step256,256,5.796875,0.5300077387406715,0.16399999999999998,2.7755575615628914e-17,13.797300000000002,1.0676875057806001
step512,512,20.875,2.5304396851140316,2.8853,0.000458257569495737,1.6093,0.4087914015729782
step1000,1000,64.15,5.430469592954186,3.0237000000000003,0.0004582575694955335,5.6496,0.5704582719182885
step2000,2000,173.5,5.852349955359813,5.6431,0.0005385164807134488,7.777800000000001,1.2094324123323301
step5000,5000,429.0,13.423859355639868,11.7955,0.0018574175621006936,8.9695,1.0054323696798306
step10000,10000,744.4,38.17643252060098,17.4054,0.0028000000000003005,11.1079,1.3280062085698245
step20000,20000,1045.2,37.39732610762432,27.564099999999996,0.004988987873306477,8.9124,0.7046488771012126
step50000,50000,1936.0,84.51272093596324,112.9174,1.0866191789214836,3.7906999999999997,0.7473865198142124
step100000,100000,-112102.4,54666.9343629218,-34858.89229999999,1016.3460804870598,4.4674000000000005,0.7906202881282518
step140000,140000,113984.0,84245.96430927716,-56626.977,74277.98945512615,3.8350999999999997,1.1036787077768602
