revision,step,trace,trace_std,max_eig,max_eig_std,stable_rank,stable_rank_std
step0,0,-0.169921875,0.5334003684512834,-0.11600000000000002,1.3877787807814457e-17,39.6255,1.2602672137288977
step1,1,-0.0728515625,0.3714369172950679,-0.11600000000000002,1.3877787807814457e-17,38.522600000000004,1.9314639629048205
step2,2,0.12021484375,0.3612538062294414,-0.11600000000000002,1.3877787807814457e-17,37.767700000000005,0.4760195479179406
step4,4,-0.140234375,0.6318187606339832,-0.11600000000000002,1.3877787807814457e-17,38.2614,1.6412451492692977
step8,8,0.708984375,0.30726573425182396,0.11000000000000001,1.3877787807814457e-17,43.3723,2.5907031111263983
step16,16,2.13125,0.2436898964360238,0.14399999999999996,2.7755575615628914e-17,25.845799999999997,0.9560449571019132
step32,32,6.53125,0.5275607192541917,0.24800000000000005,5.551115123125783e-17,13.4392,1.9712227068497359
step64,64,8.146875,0.8823408585263407,0.302,0.0,12.6005,1.2362274264875377
step128,128,5.796875,0.3290166456655347,0.2919999999999999,5.551115123125783e-17,7.3897,1.0190415153466514
step256,256,9.78125,1.0680919026469586,0.665,0.0,4.0386,0.7996255623727896
step512,512,135.6,10.60377291344925,12.0404,0.0008000000000003115,3.7095,0.8594493876895837
step1000,1000,386.8,22.52465316048174,14.3393,0.001417744687875736,8.3925,1.01633038427472
step2000,2000,653.2,21.839413911549915,25.529200000000003,0.01692217480113014,6.8382000000000005,0.6428498736096943
step5000,5000,712.4,40.494937955255594,19.9883,0.0026476404589749754,10.041599999999999,0.9379151560775633
step10000,10000,979.6,52.807575214167905,30.475900000000003,0.005647123161398074,9.161,1.2980269642807885
step20000,20000,1254.4,80.462662148353,36.4659,0.010280564186851762,12.844999999999999,0.9071034119658025
step50000,50000,1628.8,122.96080676378145,61.98729999999999,1.1088679858305934,13.315800000000001,1.4725525321699051
step100000,100000,4670.4,1190.3494612927752,-225.40189999999998,555.7072450719803,5.6416,2.672577040984974
step140000,140000,6422.4,1545.1759252589977,464.08149999999995,1151.3788741064561,8.9177,1.504198859858629
