revision,step,trace,max_eig,stable_rank
step0,0,-0.10791015625,-0.043,45.422
step1,1,-0.275390625,-0.043,47.006
step2,2,-0.267578125,-0.043,45.686
step4,4,-0.2080078125,-0.043,42.253
step8,8,-0.37890625,-0.043,46.742
step16,16,0.400390625,-0.044,40.858
step32,32,2.71875,0.077,23.553
step64,64,6.3125,0.171,17.634
step128,128,4.65625,0.141,16.406
step256,256,6.5625,0.212,18.513
step512,512,-22.375,1.051,8.148
step1000,1000,-88.5,3.287,8.237
step2000,2000,-300.0,16.577,3.374
step5000,5000,-588.0,-15.209,16.875
step10000,10000,-972.0,-30.244,17.06
step20000,20000,-1272.0,52.743,13.242
step50000,50000,4288.0,6484.777,1.808
step100000,100000,-63488.0,-32646.723,3.347
step140000,140000,-202752.0,-61063.46,2.922
