revision,step,trace,max_eig,stable_rank
step0,0,-0.03564453125,-0.098,27.251
step1,1,-0.66796875,-0.098,27.048
step2,2,-0.53515625,-0.098,27.454
step4,4,-0.310546875,-0.097,25.948
step8,8,0.048828125,0.094,26.636
step16,16,1.7734375,0.116,17.636
step32,32,4.6875,0.188,9.836
step64,64,6.1875,0.233,12.808
step128,128,4.03125,0.18,10.188
step256,256,5.03125,1.799,3.093
step512,512,-146.0,-8.42,9.255
step1000,1000,-454.0,-19.201,8.468
step2000,2000,-1056.0,-38.893,6.641
step5000,5000,-1144.0,-31.127,12.345
step10000,10000,-1448.0,-42.018,13.433
step20000,20000,-1872.0,-58.51,14.813
step50000,50000,-1872.0,95.956,12.805
step100000,100000,2160.0,1028.939,2.724
step140000,140000,-2656.0,1079.265,6.907
