revision,step,trace,max_eig,stable_rank
step0,0,-0.84375,-0.06,46.387
step1,1,-0.484375,-0.06,45.844
step2,2,-0.6328125,-0.06,43.674
step4,4,-0.53515625,-0.059,46.289
step8,8,-0.09130859375,0.059,44.045
step16,16,0.2109375,0.06,46.115
step32,32,3.296875,0.121,13.74
step64,64,5.78125,0.206,12.611
step128,128,4.6875,0.146,15.577
step256,256,5.9375,0.51,12.495
step512,512,-31.625,2.015,8.128
step1000,1000,-115.0,-3.023,16.961
step2000,2000,-256.0,-9.743,9.991
step5000,5000,-366.0,16.19,15.029
step10000,10000,-536.0,25.9,15.266
step20000,20000,-628.0,40.462,16.425
step50000,50000,-852.0,284.018,2.782
step100000,100000,-14528.0,23218.887,2.943
step140000,140000,148480.0,107923.203,3.128
