revision,step,trace,max_eig,stable_rank
step0,0,-0.5546875,-0.079,28.791
step1,1,-0.240234375,-0.079,30.2
step2,2,-0.275390625,-0.078,28.892
step4,4,-0.173828125,-0.078,29.213
step8,8,-0.181640625,-0.072,37.676
step16,16,1.1328125,0.074,37.629
step32,32,4.75,0.157,13.074
step64,64,5.9375,0.236,13.676
step128,128,4.40625,0.151,17.132
step256,256,6.5625,1.003,5.374
step512,512,-58.75,1.883,16.217
step1000,1000,-181.0,-7.084,9.605
step2000,2000,-700.0,-35.178,6.242
step5000,5000,-648.0,82.991,4.753
step10000,10000,-984.0,119.068,8.458
step20000,20000,-600.0,133.651,10.948
step50000,50000,-13504.0,-3068.87,4.338
step100000,100000,630784.0,663430.077,0.673
step140000,140000,-425984.0,-203898.122,1.873
