revision,step,trace,max_eig,stable_rank
step0,0,128.0,0.005,1777.344
step1,1,128.0,0.005,1777.344
step2,2,128.0,0.005,1787.109
step4,4,128.0,0.005,1787.109
step8,8,128.0,0.005,1777.344
step16,16,128.0,0.005,1894.531
step32,32,128.0,0.007,1923.23
step64,64,128.0,0.089,37.233
step128,128,130.0,0.604,1.773
step256,256,138.0,3.326,1.932
step512,512,145.0,2.597,6.26
step1000,1000,219.0,3.202,4.828
step2000,2000,356.0,5.594,4.346
step5000,5000,532.0,7.769,5.699
step10000,10000,808.0,11.524,4.462
step20000,20000,1304.0,18.591,4.373
step50000,50000,5248.0,128.747,3.614
step100000,100000,154624.0,4448.602,5.45
step140000,140000,240640.0,4903.975,7.585
