revision,step,trace,max_eig,stable_rank
step0,0,-2.03125,-0.17,21.086
step1,1,-1.1484375,-0.17,22.708
step2,2,-2.390625,-0.17,22.167
step4,4,-1.7109375,-0.17,21.491
step8,8,-0.76171875,-0.156,25.361
step16,16,0.7890625,0.137,31.218
step32,32,5.09375,0.256,11.802
step64,64,8.375,0.313,12.281
step128,128,5.8125,0.275,8.471
step256,256,12.0,0.841,2.711
step512,512,134.0,11.589,3.991
step1000,1000,452.0,15.683,9.563
step2000,2000,952.0,32.197,6.037
step5000,5000,884.0,22.137,9.937
step10000,10000,1288.0,29.661,10.62
step20000,20000,1648.0,39.877,11.415
step50000,50000,1856.0,-67.464,13.439
step100000,100000,13312.0,2023.189,1.768
step140000,140000,-8096.0,-10088.171,0.882
