revision,step,trace,max_eig,stable_rank
step0,0,-16.875,-1.89,24.573
step1,1,-9.875,-1.884,23.029
step2,2,-16.375,-1.888,25.837
step4,4,-19.75,-1.886,24.907
step8,8,-18.25,-1.829,24.512
step16,16,-8.4375,-1.584,35.206
step32,32,42.5,1.74,24.664
step64,64,60.5,1.274,16.455
step128,128,75.0,1.459,10.424
step256,256,210.0,5.781,4.419
step512,512,888.0,15.566,7.497
step1000,1000,1352.0,17.18,10.238
step2000,2000,1616.0,10.878,26.721
step5000,5000,1936.0,14.73,20.843
step10000,10000,2320.0,23.334,17.283
step20000,20000,2672.0,72.006,5.152
step50000,50000,3584.0,-316.233,3.989
step100000,100000,21248.0,6433.906,2.595
step140000,140000,-20224.0,-18887.217,2.733
