revision,step,trace,max_eig,stable_rank
step0,0,0.345703125,-0.065,45.534
step1,1,0.30859375,-0.065,47.152
step2,2,-0.3828125,-0.065,47.152
step4,4,0.326171875,-0.065,46.69
step8,8,0.059326171875,-0.066,46.183
step16,16,0.69140625,-0.068,40.549
step32,32,3.78125,0.109,24.823
step64,64,8.5,0.228,17.734
step128,128,6.5625,0.206,15.096
step256,256,7.3125,0.18,16.638
step512,512,16.875,1.389,1.273
step1000,1000,55.5,3.686,2.354
step2000,2000,204.0,12.434,2.421
step5000,5000,580.0,40.785,1.348
step10000,10000,852.0,53.401,2.388
step20000,20000,1408.0,85.244,1.822
step50000,50000,26240.0,7666.584,2.998
step100000,100000,23808.0,90536.458,2.818
step140000,140000,-366592.0,-325314.929,0.653
