revision,step,trace,max_eig,stable_rank
step0,0,-0.73828125,-0.133,71.99
step1,1,-2.671875,-0.133,69.34
step2,2,-1.328125,-0.133,67.574
step4,4,-1.6875,-0.132,73.534
step8,8,-0.27734375,-0.13,73.502
step16,16,3.46875,0.129,73.707
step32,32,5.1875,0.181,31.24
step64,64,4.71875,0.118,27.072
step128,128,3.53125,0.264,8.351
step256,256,9.875,0.375,14.778
step512,512,48.5,2.963,5.353
step1000,1000,56.75,2.827,9.746
step2000,2000,98.5,11.847,1.424
step5000,5000,280.0,24.32,2.533
step10000,10000,520.0,31.763,3.784
step20000,20000,1104.0,174.603,1.669
step50000,50000,2480.0,-313.829,2.166
step100000,100000,16640.0,4220.517,3.554
step140000,140000,-9600.0,-21742.786,2.052
