revision,step,trace,max_eig,stable_rank
step0,0,0.6796875,-0.116,40.932
step1,1,-0.3984375,-0.116,40.351
step2,2,-0.56640625,-0.116,40.642
step4,4,-0.703125,-0.116,39.19
step8,8,0.54296875,0.11,45.519
step16,16,2.09375,0.144,25.431
step32,32,5.9375,0.248,11.051
step64,64,8.3125,0.302,12.592
step128,128,5.59375,0.292,7.605
step256,256,9.3125,0.665,3.321
step512,512,128.0,12.041,3.835
step1000,1000,380.0,14.34,9.107
step2000,2000,728.0,25.496,7.258
step5000,5000,680.0,19.993,8.37
step10000,10000,1072.0,30.48,8.642
step20000,20000,1200.0,36.475,11.929
step50000,50000,1704.0,60.886,12.971
step100000,100000,3920.0,-517.321,6.656
step140000,140000,6336.0,1462.917,9.739
