revision,step,trace,max_eig,stable_rank
step0,0,-0.609375,-0.082,50.542
step1,1,-0.2216796875,-0.082,53.737
step2,2,0.0625,-0.082,48.509
step4,4,-0.224609375,-0.082,50.542
step8,8,0.1171875,0.076,62.895
step16,16,1.3125,0.096,40.478
step32,32,5.84375,0.2,14.062
step64,64,7.59375,0.294,13.648
step128,128,5.8125,0.216,11.973
step256,256,6.0625,0.249,7.875
step512,512,31.0,3.051,5.828
step1000,1000,123.0,5.248,5.773
step2000,2000,636.0,19.786,9.319
step5000,5000,1496.0,61.724,9.142
step10000,10000,2736.0,93.976,12.168
step20000,20000,4192.0,130.655,11.348
step50000,50000,24960.0,2708.717,5.336
step100000,100000,385024.0,206468.207,8.337
step140000,140000,370688.0,280248.087,5.974
