revision,step,trace,max_eig,stable_rank
step0,0,18.0,-2.005,23.655
step1,1,11.0625,-2.008,22.784
step2,2,11.25,-2.007,25.52
step4,4,6.0,-2.0,22.885
step8,8,4.90625,-1.913,23.935
step16,16,27.75,1.829,27.803
step32,32,48.0,2.353,14.064
step64,64,58.5,1.514,12.609
step128,128,40.5,1.368,9.471
step256,256,135.0,6.086,3.771
step512,512,816.0,18.927,8.089
step1000,1000,1184.0,10.345,23.4
step2000,2000,1256.0,10.043,37.4
step3000,3000,1360.0,19.851,9.017
step4000,4000,1280.0,9.738,34.631
step5000,5000,1344.0,14.899,17.004
step10000,10000,1680.0,15.429,27.618
step15000,15000,1920.0,22.285,20.54
step20000,20000,2064.0,31.724,17.194
step25000,25000,2000.0,92.86,3.538
step30000,30000,1272.0,-504.741,1.239
step35000,35000,2528.0,332.186,1.944
step40000,40000,2656.0,1338.809,1.773
step45000,45000,3536.0,409.554,0.917
step50000,50000,2400.0,-419.317,3.126
step55000,55000,4128.0,389.372,2.518
step60000,60000,3968.0,-842.32,9.347
step65000,65000,7008.0,964.1,5.904
step70000,70000,3360.0,-6480.627,0.517
step75000,75000,4416.0,-1155.175,3.047
step80000,80000,4832.0,1084.444,1.848
step85000,85000,2272.0,3065.338,3.886
step90000,90000,5408.0,4474.928,1.05
step95000,95000,2160.0,-1402.052,5.674
step100000,100000,12672.0,10820.776,0.562
step105000,105000,3920.0,-2242.282,3.867
step110000,110000,6400.0,1185.103,13.513
step115000,115000,12160.0,5159.66,2.422
step120000,120000,4672.0,14455.629,6.2
step125000,125000,25472.0,6991.787,1.162
step130000,130000,1080.0,-9404.464,0.944
step135000,135000,-11968.0,-9126.456,2.499
step140000,140000,15552.0,-2346.682,4.139
