revision,step,trace,max_eig,stable_rank
step0,0,2.781250,0.316000,20.655000
step1,1,0.835938,0.316000,22.689000
step2,2,1.671875,0.316000,22.689000
step4,4,1.171875,0.316000,19.481000
step8,8,4.312500,0.321000,18.803000
step16,16,6.937500,0.337000,17.748000
step32,32,18.250000,0.443000,13.057000
step64,64,15.000000,0.284000,11.914000
step128,128,10.875000,0.704000,2.538000
step256,256,31.250000,1.429000,3.943000
step512,512,169.000000,11.122000,4.764000
step1000,1000,173.000000,-7.822000,10.780000
step2000,2000,260.000000,9.547000,14.443000
step5000,5000,390.000000,10.616000,12.919000
step10000,10000,410.000000,11.016000,13.048000
step20000,20000,502.000000,-24.054000,3.574000
step50000,50000,984.000000,-55.383000,6.507000
step100000,100000,4096.000000,-1341.191000,2.722000
step140000,140000,7232.000000,1017.888000,11.188000
