revision,step,trace,max_eig,stable_rank
step0,0,-1.109375,-0.344000,19.691000
step1,1,-1.070312,-0.344000,15.185000
step2,2,0.007568,-0.344000,17.297000
step4,4,-0.570312,-0.343000,16.269000
step8,8,-0.154297,-0.317000,19.592000
step16,16,7.156250,0.380000,16.447000
step32,32,24.875000,0.631000,14.284000
step64,64,33.500000,0.938000,14.136000
step128,128,28.250000,1.049000,8.292000
step256,256,24.875000,1.486000,3.651000
step512,512,356.000000,24.823000,4.129000
step1000,1000,520.000000,10.314000,11.438000
step2000,2000,1120.000000,14.171000,17.135000
step5000,5000,2160.000000,20.793000,22.503000
step10000,10000,2368.000000,27.346000,15.317000
step20000,20000,2368.000000,25.950000,20.297000
step50000,50000,2656.000000,33.810000,23.865000
step100000,100000,9600.000000,693.812000,6.763000
step140000,140000,7936.000000,1212.268000,6.927000
