revision,step,trace,trace_std,max_eig,max_eig_std,stable_rank,stable_rank_std
step0,0,-0.193310546875,0.2417119877072159,-0.053000000000000005,6.938893903907228e-18,58.9971,1.4999150942636723
step1,1,-0.415478515625,0.2655659733430891,-0.053000000000000005,6.938893903907228e-18,58.40599999999999,1.9294476929940336
step2,2,-0.42138671875,0.21845126871311177,-0.053000000000000005,6.938893903907228e-18,57.78029999999999,2.225068765229515
step4,4,-0.3640869140625,0.2967774893586786,-0.053000000000000005,6.938893903907228e-18,57.74549999999999,2.173627026423805
step8,8,-0.250927734375,0.2281033910680728,-0.054000000000000006,6.938893903907228e-18,55.2582,1.6408111286799576
step16,16,0.844921875,0.2560489517139801,-0.05500000000000001,6.938893903907228e-18,53.6545,1.9087901534741842
step32,32,3.41875,0.23424996664887698,0.096,0.0,27.4127,1.9943505734950413
step64,64,7.140625,0.44133365000303343,0.21400000000000002,2.7755575615628914e-17,15.609200000000001,1.4443964691178115
step128,128,6.628125,0.6789885055175824,0.19,0.0,15.9874,1.2163837552351642
step256,256,6.128125,0.41609465945262986,0.165,0.0,17.2176,1.3235008273514606
step512,512,12.1875,0.7935285124051938,1.4250000000000003,2.220446049250313e-16,1.8699000000000001,0.4519443439185848
step1000,1000,45.55,3.1519835024948972,3.9302,0.00039999999999995595,2.3872999999999998,0.6076948329548311
step2000,2000,168.2,14.041367454774482,10.221900000000002,0.0029137604568668036,2.5813,0.439353172288536
step5000,5000,397.0,15.079787796915447,17.767200000000003,0.005230678732248667,3.5028999999999995,0.4158019841222501
step10000,10000,747.2,32.82925524589311,27.380599999999998,0.00803990049689664,4.7265999999999995,0.7936438999954576
step20000,20000,1282.4,67.2238053073463,36.764300000000006,0.012649505919205023,6.5150999999999994,0.6911738493317005
step50000,50000,25446.4,4961.647210352627,4812.055899999999,0.9587901178046698,8.7577,1.3494632303253025
step100000,100000,-32985.6,72194.5429339365,64530.55880000001,38.07861772648843,3.3104,0.571237988932809
step140000,140000,476364.8,90424.24447989599,130126.83360000001,118.61988529938654,2.6604,0.7225289198364312
