revision,step,trace,max_eig,stable_rank
step0,0,-3.343750,-0.894000,138.257000
step1,1,7.843750,-0.894000,130.124000
step2,2,3.781250,-0.887000,137.595000
step4,4,33.750000,0.999000,105.210000
step8,8,100.500000,1.140000,54.536000
step16,16,33.250000,0.316000,116.928000
step32,32,0.789062,1.985000,6.529000
step64,64,27.375000,1.235000,22.456000
step128,128,44.500000,1.438000,36.511000
step256,256,65.000000,2.171000,24.718000
step512,512,84.000000,1.409000,59.941000
step1000,1000,83.000000,0.915000,136.164000
step2000,2000,63.500000,2.103000,30.722000
step5000,5000,54.000000,2.384000,30.817000
step10000,10000,135.000000,5.508000,9.837000
step20000,20000,105.000000,3.486000,23.686000
step50000,50000,146.000000,3.115000,29.945000
step100000,100000,386.000000,46.183000,3.287000
step140000,140000,552.000000,66.625000,3.208000
