revision,step,trace,max_eig,stable_rank
step0,0,0.36328125,0.065,48.308
step1,1,0.5078125,0.065,48.77
step2,2,-0.056640625,0.065,50.619
step4,4,0.279296875,0.065,47.846
step8,8,-0.1611328125,0.065,49.233
step16,16,0.66796875,-0.065,50.619
step32,32,4.375,0.125,24.359
step64,64,9.1875,0.251,17.733
step128,128,7.0,0.211,15.091
step256,256,7.15625,0.187,16.533
step512,512,14.125,1.407,0.987
step1000,1000,50.5,3.975,2.073
step2000,2000,184.0,12.762,1.693
step5000,5000,496.0,22.099,2.144
step10000,10000,872.0,35.367,4.976
step20000,20000,1480.0,44.525,6.238
step50000,50000,6848.0,-8489.77,2.661
step100000,100000,-380928.0,-113605.447,1.684
step140000,140000,174080.0,101624.827,3.708
