revision,step,trace,max_eig,stable_rank
step0,0,-0.5703125,-0.139,34.774
step1,1,-0.62890625,-0.139,34.479
step2,2,-1.0546875,-0.139,36.19
step4,4,-1.5625,-0.139,34.572
step8,8,-0.240234375,0.138,38.152
step16,16,2.140625,0.183,20.063
step32,32,7.3125,0.318,9.966
step64,64,9.4375,0.344,12.214
step128,128,6.03125,0.277,8.095
step256,256,10.875,0.656,3.94
step512,512,138.0,11.897,4.099
step1000,1000,422.0,15.122,9.726
step2000,2000,844.0,25.992,8.093
step5000,5000,708.0,20.169,10.928
step10000,10000,1128.0,32.589,9.154
step20000,20000,1568.0,40.335,12.345
step50000,50000,1664.0,66.38,11.197
step100000,100000,3552.0,-784.335,3.52
step140000,140000,-23.875,1631.063,6.712
