revision,step,trace,max_eig,stable_rank
step0,0,-1.6875,-0.158,54.453
step1,1,-2.125,-0.158,53.828
step2,2,-1.890625,-0.158,54.453
step4,4,-1.921875,-0.158,58.835
step8,8,-0.7578125,-0.154,55.013
step16,16,2.03125,-0.14,67.761
step32,32,6.90625,0.209,26.649
step64,64,4.90625,0.134,23.277
step128,128,4.21875,0.284,6.877
step256,256,8.9375,0.44,14.366
step512,512,52.0,4.738,3.103
step1000,1000,58.75,5.483,3.536
step2000,2000,105.5,13.922,1.344
step5000,5000,230.0,31.688,1.396
step10000,10000,474.0,39.081,2.606
step20000,20000,980.0,65.092,4.39
step50000,50000,1920.0,-323.227,1.93
step100000,100000,4064.0,2162.325,0.572
step140000,140000,4256.0,5944.395,3.056
