revision,step,trace,max_eig,stable_rank
step0,0,-3.781250,-1.576000,23.855000
step1,1,-3.750000,-1.576000,24.968000
step2,2,7.843750,-1.580000,24.126000
step4,4,3.406250,-1.575000,24.962000
step8,8,-3.015625,-1.519000,28.529000
step16,16,22.875000,1.362000,33.876000
step32,32,41.500000,1.872000,12.529000
step64,64,49.250000,1.279000,13.149000
step128,128,46.500000,1.566000,6.203000
step256,256,142.000000,4.789000,8.742000
step512,512,704.000000,10.837000,9.524000
step1000,1000,1136.000000,9.268000,22.612000
step2000,2000,1136.000000,7.918000,41.109000
step5000,5000,1296.000000,8.384000,51.179000
step10000,10000,1576.000000,12.980000,35.376000
step20000,20000,1600.000000,23.913000,19.642000
step50000,50000,2256.000000,100.922000,4.336000
step100000,100000,3360.000000,483.406000,5.907000
step140000,140000,1648.000000,-1197.104000,4.525000
