revision,step,trace,max_eig,stable_rank
step0,0,0.687500,-0.090000,71.856000
step1,1,0.490234,-0.090000,69.927000
step2,2,0.781250,-0.090000,71.856000
step4,4,0.898438,-0.090000,72.820000
step8,8,2.078125,0.089000,70.027000
step16,16,6.250000,0.107000,56.637000
step32,32,16.250000,0.244000,33.593000
step64,64,16.250000,0.234000,31.247000
step128,128,11.687500,0.173000,35.762000
step256,256,4.031250,0.225000,12.809000
step512,512,25.625000,2.669000,2.492000
step1000,1000,86.000000,4.183000,3.617000
step2000,2000,134.000000,6.154000,4.386000
step5000,5000,358.000000,7.902000,8.020000
step10000,10000,648.000000,8.574000,17.299000
step20000,20000,920.000000,13.497000,19.153000
step50000,50000,9856.000000,2423.359000,5.840000
step100000,100000,-22016.000000,33797.429000,5.813000
step140000,140000,-356352.000000,-88955.421000,2.982000
