revision,step,trace,max_eig,stable_rank
step0,0,3.046875,0.133000,81.265000
step1,1,1.328125,0.133000,70.665000
step2,2,2.015625,0.133000,75.082000
step4,4,0.047119,0.134000,72.016000
step8,8,4.500000,0.159000,54.698000
step16,16,11.375000,0.256000,28.729000
step32,32,20.750000,0.450000,16.975000
step64,64,16.625000,0.311000,23.586000
step128,128,9.437500,0.182000,25.237000
step256,256,6.687500,0.723000,4.185000
step512,512,146.000000,5.562000,7.365000
step1000,1000,332.000000,6.503000,13.431000
step2000,2000,416.000000,7.420000,19.901000
step5000,5000,620.000000,9.877000,18.384000
step10000,10000,1012.000000,13.708000,19.621000
step20000,20000,1192.000000,20.430000,13.984000
step50000,50000,600.000000,-1592.655000,2.082000
step100000,100000,-11328.000000,-114831.329000,0.897000
step140000,140000,-137216.000000,-99126.712000,1.599000
