revision,step,trace,max_eig,stable_rank
step0,0,25.250000,1.838000,19.134000
step1,1,30.625000,1.838000,21.257000
step2,2,29.250000,1.836000,21.142000
step4,4,20.125000,1.841000,21.243000
step8,8,29.250000,1.884000,19.118000
step16,16,30.000000,1.914000,18.522000
step32,32,47.750000,1.699000,16.157000
step64,64,50.000000,0.940000,18.876000
step128,128,46.750000,1.905000,6.373000
step256,256,154.000000,5.760000,3.986000
step512,512,744.000000,13.637000,8.226000
step1000,1000,1104.000000,7.159000,36.123000
step2000,2000,1200.000000,9.249000,29.939000
step5000,5000,1216.000000,14.807000,14.730000
step10000,10000,1584.000000,55.475000,3.672000
step20000,20000,1816.000000,-23.748000,21.077000
step50000,50000,2400.000000,32.952000,25.954000
step100000,100000,5184.000000,2234.404000,5.194000
step140000,140000,7104.000000,3862.354000,7.263000
