revision,step,wrow_max_eig,wrow_stable_rank,wrow_trace,token_id
step82000,82000,1349.5662841796875,1.0,1349.5662841796875,4370
step83000,83000,2489.933349609375,1.0,2489.93359375,4370
step84000,84000,3997.558349609375,1.0,3997.558349609375,4370
step85000,85000,5226.50048828125,1.0,5226.50048828125,4370
step86000,86000,7743.1767578125,1.0,7743.17626953125,4370
step87000,87000,2635.86279296875,1.0,2635.862548828125,4370
step88000,88000,2418.724853515625,1.0,2418.724609375,4370
step89000,89000,3362.400390625,1.0,3362.400390625,4370
step90000,90000,1474.4710693359375,1.0,1474.470947265625,4370
step91000,91000,6871.6640625,1.0,6871.66357421875,4370
step92000,92000,1700.5194091796875,1.0,1700.5194091796875,4370
step93000,93000,12940.28125,1.0,12940.28125,4370
step94000,94000,6684.49658203125,1.0,6684.4970703125,4370
step95000,95000,2627.951171875,1.0,2627.950927734375,4370
step96000,96000,5877.88818359375,1.0,5877.8876953125,4370
step97000,97000,4859.05712890625,1.0,4859.05712890625,4370
step98000,98000,10515.3662109375,1.0,10515.3662109375,4370
step99000,99000,3438.99658203125,1.0,3438.996826171875,4370
step100000,100000,3536.858642578125,1.0,3536.8583984375,4370
step101000,101000,3931.71142578125,1.0,3931.71142578125,4370
step102000,102000,3311.97705078125,1.0,3311.97705078125,4370
step103000,103000,15489.5595703125,1.0,15489.55859375,4370
step104000,104000,4133.12060546875,1.0,4133.1201171875,4370
step105000,105000,6581.87548828125,1.0,6581.87548828125,4370
step106000,106000,30691.013671875,1.0,30691.015625,4370
step107000,107000,7390.33349609375,1.0,7390.33349609375,4370
step108000,108000,14194.03515625,1.0,14194.0361328125,4370
step109000,109000,25767.95703125,1.0,25767.955078125,4370
step110000,110000,15235.8564453125,1.0,15235.85546875,4370
step111000,111000,9010.6630859375,1.0,9010.662109375,4370
step112000,112000,21993.990234375,1.0,21993.98828125,4370
step113000,113000,12293.611328125,1.0,12293.6103515625,4370
step114000,114000,9240.3291015625,1.0,9240.328125,4370
step115000,115000,7130.85888671875,1.0,7130.859375,4370
step116000,116000,12215.6796875,1.0,12215.6806640625,4370
step117000,117000,12614.78125,1.0,12614.78125,4370
step118000,118000,25007.669921875,1.0,25007.669921875,4370
step119000,119000,6375.20654296875,1.0,6375.20703125,4370
step120000,120000,8021.18115234375,1.0,8021.18115234375,4370
step121000,121000,23669.896484375,1.0,23669.896484375,4370
step122000,122000,30552.958984375,1.0,30552.958984375,4370
step123000,123000,34377.95703125,1.0,34377.9609375,4370
step124000,124000,46318.3125,1.0,46318.31640625,4370
step125000,125000,14482.6787109375,1.0,14482.6787109375,4370
step126000,126000,15578.9794921875,1.0,15578.9794921875,4370
step127000,127000,20235.142578125,1.0,20235.14453125,4370
step128000,128000,27382.984375,1.0,27382.984375,4370
step129000,129000,16277.697265625,1.0,16277.697265625,4370
step130000,130000,31511.044921875,1.0,31511.044921875,4370
step131000,131000,36581.21484375,1.0,36581.21875,4370
step132000,132000,14662.0947265625,1.0,14662.09375,4370
step133000,133000,18236.44921875,1.0,18236.451171875,4370
step134000,134000,10749.951171875,1.0,10749.951171875,4370
step135000,135000,38699.1953125,1.0,38699.1953125,4370
step136000,136000,35598.734375,1.0,35598.734375,4370
step137000,137000,15890.3876953125,1.0,15890.3876953125,4370
step138000,138000,16144.2548828125,1.0,16144.2548828125,4370
step139000,139000,14828.8251953125,1.0,14828.82421875,4370
step140000,140000,22119.625,1.0,22119.625,4370
step141000,141000,33563.0625,1.0,33563.05859375,4370
step142000,142000,21076.994140625,1.0,21076.9921875,4370
step143000,143000,15730.814453125,1.0,15730.8134765625,4370
