revision,step,h_max_eig,h_stable_rank,h_trace,h_dim
step0,0,0.0009912701789289713,322.93060302734375,0.40003737807273865,512
step1,1,0.0009912701789289713,322.93060302734375,0.40003737807273865,512
step2,2,0.000991268316283822,322.9319152832031,0.4000374376773834,512
step4,4,0.0009911847300827503,322.9866638183594,0.4000377655029297,512
step8,8,0.0009899798315018415,323.7328186035156,0.4000147581100464,512
step16,16,0.0009909375803545117,323.0292053222656,0.39996418356895447,512
step32,32,0.0037802234292030334,23.144493103027344,0.3999544382095337,512
step64,64,0.007510700263082981,6.882972240447998,0.40035882592201233,512
step128,128,0.017457544803619385,3.5347800254821777,0.4107666015625,512
step256,256,0.04366981238126755,1.5424904823303223,0.46129944920539856,512
step512,512,0.12706246972084045,1.1831104755401611,0.6404464244842529,512
step1000,1000,0.0760224461555481,1.8915603160858154,0.7961378693580627,512
step2000,2000,0.09915867447853088,1.9485164880752563,1.154712438583374,512
step3000,3000,0.1325022578239441,1.814993977546692,1.2786283493041992,512
step4000,4000,0.17387261986732483,1.5148974657058716,1.317223072052002,512
step5000,5000,0.16646495461463928,1.6128485202789307,1.3329976797103882,512
step6000,6000,0.19026362895965576,1.4382411241531372,1.3726837635040283,512
step7000,7000,0.17966261506080627,1.4894126653671265,1.4205148220062256,512
step8000,8000,0.24910753965377808,1.2815519571304321,1.4146205186843872,512
step9000,9000,0.19002482295036316,1.405900478363037,1.4603357315063477,512
step10000,10000,0.1753474473953247,1.4518587589263916,1.4603911638259888,512
step11000,11000,0.1637074053287506,1.5191371440887451,1.4925498962402344,512
step12000,12000,0.16544178128242493,1.5193358659744263,1.4718775749206543,512
step13000,13000,0.16843831539154053,1.4998512268066406,1.4263380765914917,512
step14000,14000,0.16316866874694824,1.4792026281356812,1.443411111831665,512
step15000,15000,0.1537124216556549,1.6187132596969604,1.4208199977874756,512
step16000,16000,0.20005327463150024,1.4217509031295776,1.3795535564422607,512
step17000,17000,0.20729249715805054,1.386501669883728,1.4271527528762817,512
step18000,18000,0.1935615837574005,1.4455342292785645,1.4420742988586426,512
step19000,19000,0.18147170543670654,1.4825379848480225,1.4129855632781982,512
step20000,20000,0.16362401843070984,1.4961081743240356,1.39628267288208,512
step21000,21000,0.14583033323287964,1.8633358478546143,1.3086552619934082,512
step22000,22000,0.20628699660301208,1.5057862997055054,1.2924033403396606,512
step23000,23000,0.13514038920402527,1.911649465560913,1.3015801906585693,512
step24000,24000,0.13683563470840454,1.8724384307861328,1.3394967317581177,512
step25000,25000,0.12157826125621796,2.1522483825683594,1.3076057434082031,512
step26000,26000,0.16308921575546265,1.6390763521194458,1.2656532526016235,512
step27000,27000,0.12224264442920685,1.9002190828323364,1.302027940750122,512
step28000,28000,0.2009144127368927,1.4124460220336914,1.269853115081787,512
step29000,29000,0.13724273443222046,1.6259979009628296,1.282556414604187,512
step30000,30000,0.12077964842319489,1.7919626235961914,1.275580644607544,512
step31000,31000,0.20178091526031494,1.593950867652893,1.1540106534957886,512
step32000,32000,0.1320585310459137,1.7462151050567627,1.2584750652313232,512
step33000,33000,0.15061509609222412,1.7031903266906738,1.2319012880325317,512
step34000,34000,0.19285431504249573,1.4278656244277954,1.178316354751587,512
step35000,35000,0.13889411091804504,1.761546015739441,1.212355375289917,512
step36000,36000,0.166073739528656,1.483640432357788,1.172565221786499,512
step37000,37000,0.2005428969860077,1.3288096189498901,1.1692038774490356,512
step38000,38000,0.2414160966873169,1.250842571258545,1.1045087575912476,512
step39000,39000,0.16604337096214294,1.4945427179336548,1.137136697769165,512
step40000,40000,0.20309975743293762,1.309173345565796,1.1203633546829224,512
step41000,41000,0.24900254607200623,1.2148475646972656,1.0815820693969727,512
step42000,42000,0.21500226855278015,1.4032264947891235,1.0699365139007568,512
step43000,43000,0.2698180675506592,1.1341743469238281,0.9078969955444336,512
step44000,44000,0.21411293745040894,1.2848625183105469,1.054708480834961,512
step45000,45000,0.14242511987686157,1.6110892295837402,1.0291162729263306,512
step46000,46000,0.2673247456550598,1.0727028846740723,0.6445325016975403,512
step47000,47000,0.3003382682800293,1.0687339305877686,0.8333074450492859,512
step48000,48000,0.2952653765678406,1.0527268648147583,0.8455573320388794,512
step49000,49000,0.2612888813018799,1.062759280204773,0.7534690499305725,512
step50000,50000,0.16181936860084534,1.4737153053283691,0.927289605140686,512
step51000,51000,0.27196410298347473,1.0397975444793701,0.739780843257904,512
step52000,52000,0.08715413510799408,2.1320767402648926,0.9855892658233643,512
step53000,53000,0.25433269143104553,1.0295789241790771,0.6146364212036133,512
step54000,54000,0.25073498487472534,1.1420966386795044,0.8430782556533813,512
step55000,55000,0.10542522370815277,1.8766613006591797,0.9436807632446289,512
step56000,56000,0.23283657431602478,1.1252409219741821,0.8512202501296997,512
step57000,57000,0.21857130527496338,1.1496719121932983,0.892489492893219,512
step58000,58000,0.1104925274848938,1.7121467590332031,0.9040429592132568,512
step59000,59000,0.22804030776023865,1.0703351497650146,0.7327580451965332,512
step60000,60000,0.23144465684890747,1.1326141357421875,0.8268164396286011,512
step61000,61000,0.21416020393371582,1.124772071838379,0.764531135559082,512
step62000,62000,0.06972216069698334,2.4628725051879883,0.8948255777359009,512
step63000,63000,0.16127362847328186,1.3292104005813599,0.783585786819458,512
step64000,64000,0.07332438230514526,2.211580991744995,0.8640503287315369,512
step65000,65000,0.06480568647384644,2.4058644771575928,0.8800408244132996,512
step66000,66000,0.1599768102169037,1.2545109987258911,0.7581932544708252,512
step67000,67000,0.19812116026878357,1.196905255317688,0.6923216581344604,512
step68000,68000,0.17479777336120605,1.2245619297027588,0.7656140327453613,512
step69000,69000,0.19253110885620117,1.19646155834198,0.6669817566871643,512
step70000,70000,0.09874460101127625,1.8675405979156494,0.8073843717575073,512
step71000,71000,0.08538393676280975,2.1030075550079346,0.8647880554199219,512
step72000,72000,0.18331170082092285,1.131670594215393,0.7360253930091858,512
step73000,73000,0.1286812424659729,1.339524745941162,0.8143396973609924,512
step74000,74000,0.06258006393909454,2.5386457443237305,0.8158586025238037,512
step75000,75000,0.1125963032245636,1.963599443435669,0.7669714093208313,512
step76000,76000,0.10074096918106079,2.007392168045044,0.7544816732406616,512
step77000,77000,0.07394763827323914,2.415192127227783,0.8155032396316528,512
step78000,78000,0.07381397485733032,2.143653392791748,0.8220359086990356,512
step79000,79000,0.18557706475257874,1.172377347946167,0.6680324673652649,512
step80000,80000,0.1059151142835617,1.6774756908416748,0.8076485395431519,512
step81000,81000,0.15506774187088013,1.3484125137329102,0.688951849937439,512
step82000,82000,0.06048039346933365,2.422330379486084,0.814996063709259,512
step83000,83000,0.0658949613571167,2.7290875911712646,0.7874760627746582,512
step84000,84000,0.07097506523132324,2.439333915710449,0.7297850847244263,512
step85000,85000,0.08942759037017822,2.2756271362304688,0.7451620101928711,512
step86000,86000,0.08616441488265991,1.8814510107040405,0.6631054878234863,512
step87000,87000,0.04410582780838013,3.469446897506714,0.684661865234375,512
step88000,88000,0.04742737114429474,3.557257652282715,0.6889716982841492,512
step89000,89000,0.05686234310269356,2.3816542625427246,0.6437135338783264,512
step90000,90000,0.045189037919044495,2.598860025405884,0.6630143523216248,512
step91000,91000,0.04914318770170212,2.5484261512756348,0.6388095617294312,512
step92000,92000,0.04097378998994827,3.370084762573242,0.6252942085266113,512
step93000,93000,0.07687048614025116,1.9276140928268433,0.5686829090118408,512
step94000,94000,0.044527724385261536,2.888014793395996,0.6001377105712891,512
step95000,95000,0.040414221584796906,2.6319642066955566,0.5870952010154724,512
step96000,96000,0.05851877108216286,2.7777698040008545,0.5490517616271973,512
step97000,97000,0.049615293741226196,2.372145652770996,0.5397961735725403,512
step98000,98000,0.06610885262489319,2.0710926055908203,0.4907122552394867,512
step99000,99000,0.03267153352499008,3.410930871963501,0.5296453833580017,512
step100000,100000,0.04423799365758896,2.5071911811828613,0.5061755776405334,512
step101000,101000,0.05111672729253769,1.8954960107803345,0.5188177824020386,512
step102000,102000,0.06404344737529755,1.6143651008605957,0.49115440249443054,512
step103000,103000,0.08316594362258911,1.4094440937042236,0.3934204578399658,512
step104000,104000,0.042767371982336044,2.833285093307495,0.4931584596633911,512
step105000,105000,0.03506746143102646,2.9692633152008057,0.49973753094673157,512
step106000,106000,0.0702943503856659,1.5332400798797607,0.3863402307033539,512
step107000,107000,0.07540974020957947,1.611732840538025,0.4631831645965576,512
step108000,108000,0.06312121450901031,2.020493745803833,0.47422295808792114,512
step109000,109000,0.0593021959066391,1.6764646768569946,0.43219655752182007,512
step110000,110000,0.06608549505472183,1.9887834787368774,0.4812418222427368,512
step111000,111000,0.05202539265155792,1.9920804500579834,0.453835129737854,512
step112000,112000,0.05759202316403389,2.2653913497924805,0.45818591117858887,512
step113000,113000,0.09648843109607697,1.3980692625045776,0.3990804851055145,512
step114000,114000,0.05266120284795761,2.2415812015533447,0.4876520335674286,512
step115000,115000,0.05405791848897934,1.7986682653427124,0.47406768798828125,512
step116000,116000,0.07316569983959198,1.5979764461517334,0.43962857127189636,512
step117000,117000,0.055475614964962006,1.9498671293258667,0.43902531266212463,512
