revision,step,trace,max_eig,stable_rank
step0,0,-66.5,6.478,85.077
step1,1,-53.25,6.476,77.399
step2,2,31.0,6.485,78.397
step4,4,-29.25,6.483,79.183
step8,8,-43.5,6.422,78.003
step16,16,30.25,5.742,84.498
step32,32,77.0,3.314,75.392
step64,64,45.25,2.149,74.488
step128,128,71.0,3.293,49.768
step256,256,235.0,12.439,27.075
step512,512,292.0,37.554,16.229
step1000,1000,536.0,52.433,8.154
step2000,2000,400.0,-44.569,16.912
step3000,3000,520.0,-76.081,10.962
step4000,4000,262.0,60.882,16.083
step5000,5000,1112.0,133.379,5.796
step10000,10000,840.0,130.231,8.592
step15000,15000,1456.0,113.444,11.707
step20000,20000,1216.0,98.765,11.16
step25000,25000,334.0,80.009,14.423
step30000,30000,696.0,72.825,15.974
step35000,35000,920.0,70.27,16.861
step40000,40000,768.0,75.167,16.03
step45000,45000,410.0,79.597,15.799
step50000,50000,332.0,82.549,16.843
step55000,55000,496.0,78.854,17.877
step60000,60000,664.0,90.757,14.698
step65000,65000,211.0,91.372,11.323
step70000,70000,648.0,121.298,9.354
step75000,75000,-7.84375,-163.921,4.597
step80000,80000,884.0,-307.349,4.06
step85000,85000,1352.0,-294.318,4.985
step90000,90000,876.0,464.185,5.418
step95000,95000,592.0,-791.978,4.998
step100000,100000,-804.0,2199.492,0.395
step105000,105000,1920.0,-4263.915,1.075
step110000,110000,1088.0,3027.687,0.347
step115000,115000,1712.0,6072.615,1.235
step120000,120000,-3536.0,3766.392,1.249
step125000,125000,-4320.0,-12028.232,0.707
step130000,130000,864.0,-1476.013,1.589
step135000,135000,1392.0,12727.747,4.381
step140000,140000,4128.0,3367.829,3.334
