revision,step,trace,max_eig,stable_rank
step0,0,103.0,12.26,90.165
step1,1,89.0,12.271,99.668
step2,2,97.0,12.275,96.057
step4,4,25.375,12.285,93.324
step8,8,47.0,12.138,91.748
step16,16,211.0,10.587,92.502
step32,32,55.25,-5.763,100.239
step64,64,95.0,6.582,36.703
step128,128,210.0,9.802,25.786
step256,256,452.0,25.644,22.002
step512,512,378.0,34.732,24.17
step1000,1000,362.0,42.772,14.429
step2000,2000,111.0,-38.166,15.502
step3000,3000,368.0,85.171,9.216
step4000,4000,920.0,241.212,2.164
step5000,5000,1816.0,720.358,1.414
step10000,10000,604.0,427.891,2.639
step15000,15000,760.0,172.078,8.265
step20000,20000,1104.0,154.677,5.507
step25000,25000,1032.0,179.448,3.878
step30000,30000,672.0,167.412,4.276
step35000,35000,896.0,203.831,4.354
step40000,40000,1344.0,244.81,5.409
step45000,45000,556.0,235.494,4.629
step50000,50000,219.0,204.948,6.192
step55000,55000,-24.75,294.846,4.521
step60000,60000,696.0,301.759,4.215
step65000,65000,326.0,260.095,8.468
step70000,70000,840.0,281.842,7.569
step75000,75000,684.0,436.342,4.292
step80000,80000,262.0,-417.535,8.11
step85000,85000,1424.0,-452.742,7.933
step90000,90000,4800.0,956.729,0.636
step95000,95000,728.0,-747.853,6.614
step100000,100000,1704.0,-2654.207,1.025
step105000,105000,9600.0,6429.428,1.771
step110000,110000,-8320.0,6289.263,2.935
step115000,115000,2464.0,7529.968,0.297
step120000,120000,9408.0,-4311.395,2.343
step125000,125000,-14464.0,-7120.88,0.615
step130000,130000,9920.0,3541.839,1.856
step135000,135000,53248.0,35907.76,0.231
step140000,140000,-2784.0,10222.422,1.235
