revision,step,trace,max_eig,stable_rank
step0,0,-136.0,-18.032,806.039
step1,1,370.0,-18.023,803.157
step2,2,39.5,-18.017,796.946
step4,4,-776.0,-17.987,790.738
step8,8,298.0,17.946,787.473
step16,16,520.0,16.407,780.012
step32,32,458.0,8.768,1020.131
step64,64,544.0,5.569,1071.532
step128,128,121.5,8.354,516.225
step256,256,1128.0,26.762,192.061
step512,512,980.0,47.767,161.085
step1000,1000,852.0,68.503,116.822
step2000,2000,226.0,35.673,200.404
step3000,3000,1336.0,53.616,120.661
step4000,4000,1744.0,53.899,90.075
step5000,5000,2480.0,81.319,44.623
step10000,10000,3216.0,111.973,25.589
step15000,15000,3504.0,96.296,34.224
step20000,20000,3136.0,115.537,22.272
step25000,25000,2944.0,92.443,35.369
step30000,30000,3056.0,91.194,37.029
step35000,35000,4928.0,117.333,29.414
step40000,40000,4416.0,134.173,25.57
step45000,45000,4960.0,148.762,24.223
step50000,50000,5792.0,197.545,21.188
step55000,55000,6144.0,227.2,18.528
step60000,60000,5792.0,301.859,10.918
step65000,65000,5696.0,344.681,7.22
step70000,70000,6592.0,-413.018,3.155
step75000,75000,5152.0,370.108,8.987
step80000,80000,4192.0,-694.358,5.607
step85000,85000,5856.0,666.204,3.454
step90000,90000,4992.0,826.604,16.04
step95000,95000,5216.0,867.534,4.862
step100000,100000,6432.0,6402.794,0.266
step105000,105000,7776.0,-5168.611,1.519
step110000,110000,12800.0,11180.578,1.481
step115000,115000,20608.0,-5442.9,1.519
step120000,120000,6976.0,4314.96,5.453
step125000,125000,-20736.0,-28448.53,5.651
step130000,130000,11008.0,-4408.74,2.922
step135000,135000,3792.0,11861.857,2.477
step140000,140000,11712.0,-7682.299,1.041
