revision,step,trace,max_eig,stable_rank
step0,0,992.0,78.002,276.156
step1,1,1224.0,77.932,277.689
step2,2,940.0,77.994,284.524
step4,4,388.0,77.836,278.653
step8,8,2896.0,77.27,282.531
step16,16,2880.0,67.339,287.365
step32,32,2272.0,-31.544,381.403
step64,64,2352.0,41.414,95.679
step128,128,2912.0,83.276,34.182
step256,256,7168.0,237.069,27.092
step512,512,8448.0,464.875,20.511
step1000,1000,5760.0,372.815,20.691
step2000,2000,600.0,-91.666,77.397
step3000,3000,1392.0,93.049,65.543
step4000,4000,1168.0,101.422,37.099
step5000,5000,1904.0,324.335,4.167
step10000,10000,1112.0,183.797,8.281
step15000,15000,1040.0,62.871,40.589
step20000,20000,824.0,41.461,60.913
step25000,25000,792.0,44.995,54.323
step30000,30000,1012.0,42.608,51.898
step35000,35000,1176.0,58.313,30.783
step40000,40000,684.0,60.472,34.856
step45000,45000,564.0,64.735,35.447
step50000,50000,251.0,65.249,49.073
step55000,55000,460.0,-96.119,25.94
step60000,60000,416.0,-85.251,32.322
step65000,65000,-480.0,-121.465,11.084
step70000,70000,856.0,-140.734,18.048
step75000,75000,520.0,198.002,21.787
step80000,80000,1012.0,-287.726,7.078
step85000,85000,616.0,-208.833,6.347
step90000,90000,2544.0,941.655,1.186
step95000,95000,146.0,-768.249,0.917
step100000,100000,2080.0,3411.162,0.757
step105000,105000,2176.0,2348.895,2.27
step110000,110000,7520.0,4381.92,5.278
step115000,115000,-2208.0,4228.213,0.193
step120000,120000,1904.0,2320.146,1.081
step125000,125000,1808.0,-7922.513,0.367
step130000,130000,5312.0,2349.163,4.245
step135000,135000,14976.0,11164.635,0.183
step140000,140000,-3168.0,-6560.306,0.736
