revision,step,trace,max_eig,stable_rank
step0,0,-340.0,11.725,1241.584
step1,1,-107.0,11.726,1264.535
step2,2,-502.0,11.74,1241.373
step4,4,-640.0,11.744,1239.26
step8,8,-145.0,11.76,1192.299
step16,16,-92.5,11.001,1158.352
step32,32,386.0,7.203,1169.72
step64,64,310.0,4.158,1561.401
step128,128,254.0,4.895,1151.99
step256,256,760.0,19.315,232.85
step512,512,908.0,34.96,205.389
step1000,1000,242.0,40.676,178.552
step2000,2000,824.0,32.893,175.123
step3000,3000,1144.0,51.118,104.032
step4000,4000,1072.0,57.973,67.718
step5000,5000,1584.0,74.91,44.134
step10000,10000,1104.0,66.202,48.992
step15000,15000,1136.0,67.455,42.069
step20000,20000,680.0,46.628,75.536
step25000,25000,1040.0,49.554,68.107
step30000,30000,1176.0,54.446,56.628
step35000,35000,636.0,80.314,29.144
step40000,40000,1256.0,86.787,33.424
step45000,45000,1104.0,93.6,32.161
step50000,50000,290.0,95.793,42.199
step55000,55000,33.75,-134.085,18.625
step60000,60000,490.0,158.599,11.382
step65000,65000,1744.0,-234.887,8.185
step70000,70000,232.0,170.286,21.963
step75000,75000,1704.0,235.652,9.553
step80000,80000,204.0,-433.814,5.417
step85000,85000,2720.0,368.862,2.603
step90000,90000,2768.0,-572.062,2.655
step95000,95000,2432.0,-761.293,9.68
step100000,100000,356.0,5364.992,1.107
step105000,105000,1192.0,3581.088,5.818
step110000,110000,3504.0,11019.968,0.42
step115000,115000,15232.0,10418.404,1.529
step120000,120000,-864.0,-2653.24,1.345
step125000,125000,-3040.0,-12302.066,4.044
step130000,130000,7072.0,-3808.709,3.925
step135000,135000,-1360.0,-4275.61,6.558
step140000,140000,10432.0,-5666.946,2.693
