revision,step,llc,loss
step0,0,-7.596893098937183,11.05625
step1,1,1.1644872633405945,11.05
step2,2,-4.657949053362851,11.05625
step4,4,-2.328974526681189,11.0625
step8,8,-0.6099695188926698,11.00625
step16,16,9.81496407672888,10.9375
step32,32,-4.214334857804417,10.71875
step64,64,6.709664707820314,10.275
step128,128,-2.717136947794878,9.5625
step256,256,4.879756151142068,7.771875
step512,512,27.25454713961708,6.29375
step1000,1000,46.745845856962745,5.471875
step2000,2000,217.64821469582296,4.725
step5000,5000,465.87808299795057,4.38125
step10000,10000,670.8555672331374,4.296875
step20000,20000,885.5093861089413,4.23125
step50000,50000,1316.8964654022288,4.41875
step100000,100000,2758.5039715308026,6.40625
step140000,140000,3288.900194095273,6.2875
