revision,step,llc,loss
step0,0,2.6616851733506057,11.04375
step1,1,0.4436141955584343,11.05625
step2,2,2.5507816244606425,11.04375
step4,4,6.210598737817135,11.0375
step8,8,-0.8317766166716506,11.00625
step16,16,0.6099695188926698,10.9375
step32,32,4.1588830833596715,10.70625
step64,64,-0.27725887222419876,10.3
step128,128,-1.1644872633405945,9.55625
step256,256,1.2476649250079488,7.796875
step512,512,47.30036360141067,6.38125
step1000,1000,125.51509145579492,5.459375
step2000,2000,231.64978774313366,4.775
step5000,5000,358.74525477060524,4.41875
step10000,10000,498.76098524371423,4.296875
step20000,20000,560.9778761707748,4.3015625
step50000,50000,669.7188058570192,4.421875
step100000,100000,865.3249402110358,6.365625
step140000,140000,1176.353943071894,6.309375
