revision,step,llc,loss
step0,0,-5.877888091148663,11.05625
step1,1,2.8280404966843684,11.05
step2,2,-1.7190050077885193,11.0625
step4,4,-2.5507816244606425,11.0625
step8,8,0.0,11.0
step16,16,-0.3881624211136891,10.94375
step32,32,11.256710212293674,10.7
step64,64,1.3308425866753029,10.29375
step128,128,0.16635532333423556,9.55
step256,256,2.051715654457463,7.784375
step512,512,6.432405835596115,6.36875
step1000,1000,24.09379599626377,5.490625
step2000,2000,58.529347926481734,4.784375
step5000,5000,137.99174070587392,4.409375
step10000,10000,240.79933052652513,4.365625
step20000,20000,394.9552634830569,4.20625
step50000,50000,542.0410951978773,4.44375
step100000,100000,1656.9544721849377,6.3375
step140000,140000,2231.7121143052445,6.303125
