revision,step,trace,max_eig,stable_rank
step0,0,-0.193359375,0.21,25.687
step1,1,0.875,0.21,26.396
step2,2,1.2734375,0.21,24.979
step4,4,0.64453125,0.211,27.726
step8,8,2.78125,0.23,22.005
step16,16,2.75,0.296,14.623
step32,32,9.125,0.43,10.901
step64,64,7.40625,0.321,7.43
step128,128,7.0625,0.446,5.499
step256,256,17.75,1.621,4.805
step512,512,105.0,8.241,6.33
step1000,1000,218.0,11.5,6.14
step2000,2000,362.0,16.972,5.781
step5000,5000,820.0,32.539,5.176
step10000,10000,1728.0,58.503,6.896
step20000,20000,2992.0,105.742,7.821
step50000,50000,5056.0,199.829,6.993
step100000,100000,8384.0,-4702.565,4.031
step140000,140000,46336.0,54320.082,0.403
