revision,step,trace,max_eig,stable_rank
step0,0,128.0,0.005,1933.594
step1,1,128.0,0.005,1933.594
step2,2,128.0,0.005,1943.359
step4,4,128.0,0.005,1943.359
step8,8,129.0,0.005,1914.062
step16,16,128.0,0.005,2021.484
step32,32,129.0,0.007,1963.09
step64,64,128.0,0.085,41.09
step128,128,130.0,0.674,1.556
step256,256,137.0,3.204,1.875
step512,512,146.0,2.496,5.104
step1000,1000,213.0,2.558,5.349
step2000,2000,350.0,4.069,6.127
step5000,5000,516.0,5.893,6.683
step10000,10000,776.0,9.425,5.694
step20000,20000,1232.0,14.249,5.322
step50000,50000,4736.0,93.467,4.511
step100000,100000,153600.0,3868.473,5.245
step140000,140000,239616.0,4496.582,6.957
