revision,step,trace,max_eig,stable_rank
step0,0,0.60546875,0.068,65.47
step1,1,1.1015625,0.068,66.737
step2,2,0.73828125,0.068,70.117
step4,4,0.69140625,0.069,64.625
step8,8,1.5546875,0.073,56.809
step16,16,2.0,0.09,42.921
step32,32,3.953125,0.172,13.27
step64,64,6.8125,0.24,12.207
step128,128,6.21875,0.189,13.232
step256,256,7.40625,0.178,13.192
step512,512,23.875,2.321,2.413
step1000,1000,73.0,2.873,7.814
step2000,2000,211.0,6.748,5.75
step5000,5000,474.0,11.376,9.753
step10000,10000,808.0,16.759,11.102
step20000,20000,1272.0,27.427,11.147
step50000,50000,2096.0,215.564,2.261
step100000,100000,77312.0,-127200.731,1.553
step140000,140000,876544.0,309726.883,2.215
