revision,step,trace,max_eig,stable_rank
step0,0,5.28125,0.978,97.105
step1,1,16.875,0.979,98.598
step2,2,5.6875,0.976,101.621
step4,4,11.4375,0.979,95.663
step8,8,4.78125,1.033,85.747
step16,16,20.75,1.22,60.468
step32,32,41.0,1.529,33.19
step64,64,44.5,0.794,32.914
step128,128,55.25,1.661,8.629
step256,256,194.0,5.273,7.207
step512,512,920.0,14.463,11.903
step1000,1000,1256.0,19.295,15.073
step2000,2000,1792.0,18.83,19.19
step5000,5000,1752.0,18.973,21.22
step10000,10000,2432.0,31.784,14.049
step20000,20000,3040.0,51.304,12.409
step50000,50000,3136.0,231.689,5.684
step100000,100000,9216.0,1952.727,7.618
step140000,140000,75776.0,35128.648,0.566
