revision,step,trace,max_eig,stable_rank
step0,0,-0.6328125,0.109,142.691
step1,1,0.8203125,0.109,144.006
step2,2,1.125,0.109,142.691
step4,4,-0.2314453125,0.109,144.006
step8,8,0.9609375,0.113,132.156
step16,16,1.890625,0.128,103.951
step32,32,4.9375,0.16,52.795
step64,64,4.3125,0.096,53.83
step128,128,4.375,0.295,7.227
step256,256,9.125,0.988,6.102
step512,512,48.0,1.955,12.624
step1000,1000,63.25,3.142,10.565
step2000,2000,113.0,17.434,1.146
step5000,5000,294.0,46.667,1.743
step10000,10000,612.0,41.529,4.449
step20000,20000,1240.0,66.288,6.301
step50000,50000,2160.0,-277.871,5.371
step100000,100000,6912.0,1625.308,3.727
step140000,140000,72704.0,30970.076,1.486
