revision,step,trace,max_eig,stable_rank
step0,0,-1.359375,-0.328000,16.847000
step1,1,-1.226562,-0.328000,12.635000
step2,2,-0.632812,-0.328000,14.174000
step4,4,-1.984375,-0.327000,14.320000
step8,8,-0.285156,-0.304000,16.569000
step16,16,6.375000,0.380000,13.418000
step32,32,27.000000,0.609000,15.504000
step64,64,36.500000,0.776000,25.532000
step128,128,29.000000,0.536000,20.884000
step256,256,18.500000,0.566000,5.755000
step512,512,81.500000,6.840000,2.885000
step1000,1000,178.000000,4.251000,9.629000
step2000,2000,202.000000,2.455000,16.938000
step5000,5000,218.000000,2.939000,13.902000
step10000,10000,272.000000,3.742000,14.084000
step20000,20000,350.000000,4.622000,16.203000
step50000,50000,544.000000,6.993000,17.167000
step100000,100000,1360.000000,174.097000,4.490000
step140000,140000,2864.000000,207.787000,3.453000
