revision,step,trace,max_eig,stable_rank
step0,0,-1.500000,-0.120000,3.645000
step1,1,-1.304688,-0.120000,5.731000
step2,2,-1.257812,-0.120000,2.967000
step4,4,-1.304688,-0.120000,2.899000
step8,8,-0.574219,-0.113000,3.365000
step16,16,2.625000,0.133000,4.913000
step32,32,12.812500,0.203000,24.835000
step64,64,24.000000,0.224000,88.439000
step128,128,24.625000,0.206000,119.297000
step256,256,29.625000,0.321000,62.778000
step512,512,37.250000,2.742000,2.494000
step1000,1000,105.000000,12.213000,0.748000
step2000,2000,170.000000,11.267000,0.946000
step5000,5000,278.000000,14.401000,2.836000
step10000,10000,260.000000,13.560000,1.414000
step20000,20000,276.000000,11.487000,1.296000
step50000,50000,492.000000,6.201000,5.695000
step100000,100000,5152.000000,214.986000,6.504000
step140000,140000,5696.000000,174.371000,8.072000
