revision,step,llc,loss
step0,0,-1.386294361120048,11.05625
step1,1,-0.33271064666894395,11.0625
step2,2,-2.328974526681662,11.05625
step4,4,-0.9426801655616138,11.05625
step8,8,-0.05545177444474519,11.00625
step16,16,-0.8872283911168686,10.94375
step32,32,6.155146963372389,10.7125
step64,64,5.489725670034502,10.275
step128,128,0.22180709777898075,9.55
step256,256,4.630223166140478,7.784375
step512,512,16.774161769550787,6.375
step1000,1000,24.121521883485904,5.509375
step2000,2000,30.054861749079315,4.7875
step5000,5000,130.4780252686041,4.4125
step10000,10000,210.91082410078005,4.359375
step20000,20000,357.9689299283781,4.30625
step50000,50000,637.1408883707016,4.440625
step100000,100000,819.1613379857432,6.45
step140000,140000,1076.263490199038,6.290625
