revision,step,trace,trace_std,max_eig,max_eig_std,stable_rank,stable_rank_std
step0,0,-0.00361328125,0.1587333102727043,-0.11600000000000002,1.3877787807814457e-17,38.66780000000001,0.5160441453984336
step1,1,-0.09862060546875,0.13840495949886633,-0.11600000000000002,1.3877787807814457e-17,38.5806,0.716413595627553
step2,2,-0.0408935546875,0.14191284691573236,-0.11600000000000002,1.3877787807814457e-17,38.842,0.5777963308987003
step4,4,-0.0370513916015625,0.1714611155272681,-0.11600000000000002,1.3877787807814457e-17,38.4934,0.37181855790156365
step8,8,0.5056640625,0.08573061923669414,0.11000000000000001,1.3877787807814457e-17,42.5815,0.4884441114395788
step16,16,2.0734375,0.2101315622116297,0.14399999999999996,2.7755575615628914e-17,25.8268,0.30889182572544654
step32,32,6.534375,0.18458674282027948,0.24800000000000005,5.551115123125783e-17,13.7696,0.30442903935071636
step64,64,8.21875,0.21102428770167667,0.302,0.0,12.3779,0.4697464103109252
step128,128,6.009375,0.13908883177667428,0.2919999999999999,5.551115123125783e-17,7.4676,0.23724763434015522
step256,256,9.43125,0.30929607579146556,0.665,0.0,3.9006999999999996,0.12324613584206208
step512,512,131.3,1.676305461424021,12.0404,0.0008000000000003115,3.6254999999999997,0.29592541289993995
step1000,1000,382.6,8.811356308764275,14.3393,0.001417744687875736,8.556000000000001,0.38134210362874943
step2000,2000,644.8,15.367498169838838,25.529200000000003,0.01692217480113014,6.8184,0.21240160074726375
step5000,5000,705.2,9.130169768410662,19.9883,0.0026476404589749754,10.0978,0.3438359492548735
step10000,10000,970.8,18.070971196922425,30.475900000000003,0.005647123161398074,9.012699999999999,0.2872803682815796
step20000,20000,1236.8,23.78570999570961,36.4659,0.010280564186851762,12.773,0.4851700732732802
step50000,50000,1649.6,50.82361655765949,61.98729999999999,1.1088679858305934,12.7317,0.5851451187526048
step100000,100000,4468.8,307.7703039605998,-225.40189999999998,555.7072450719803,6.3073999999999995,2.3405619068932997
step140000,140000,7059.2,795.4044002895633,464.08149999999995,1151.3788741064561,9.388499999999999,1.8545375299518747
