revision,step,trace,trace_std,max_eig,max_eig_std,stable_rank,stable_rank_std
step0,0,8.725,2.3147286558039584,-2.0080999999999998,0.001640121946685741,23.448600000000003,0.26748614917412045
step1,1,8.303125,1.7966467246303601,-2.0071000000000003,0.0017578395831247611,23.3842,0.30486613455744804
step2,2,8.940625,2.6178268808546146,-2.0088999999999997,0.002467792535850593,23.41,0.25269072005121185
step4,4,9.171875,1.2870486162631931,-2.006,0.0019999999999999797,23.8332,0.45266384878848004
step8,8,12.85625,1.699505902461065,-1.9146999999999998,0.0016763054614240323,25.546799999999998,0.35940222592521615
step16,16,25.7875,2.2562759693796326,1.8268,0.0016613247725836085,27.0468,0.19483367265439547
step32,32,54.35,1.5660459763365826,2.3535000000000004,0.0013601470508736067,14.120500000000002,0.31961296907353454
step64,64,58.325,0.8066132902450839,1.5125,0.001204159457879226,13.3154,0.3306358117324859
step128,128,41.9,0.852936105461599,1.3701,0.0012999999999999798,9.389100000000001,0.37389823481797835
step256,256,140.3,2.758622844826744,6.0957,0.0048590122453025875,4.3639,0.20812133480256167
step512,512,819.2,12.106196760337244,18.911600000000004,0.013275541420221361,6.733000000000001,0.14358899679292983
step1000,1000,1140.0,5.366563145999495,10.334,0.007085195833567576,24.3543,0.30361128108158325
step2000,2000,1203.2,12.496399481450647,10.0486,0.008558037158134184,37.74,0.3849163545499215
step5000,5000,1354.4,3.6660605559646724,15.074000000000002,0.18751586599538714,16.9675,0.5104173292512706
step10000,10000,1738.4,16.01998751560063,15.4265,0.020026232796010263,27.6045,0.32436561161750765
step20000,20000,2099.2,22.400000000000002,31.7443,0.11443343043009734,16.2218,0.36997237734728244
step50000,50000,2443.2,154.63815829218868,-406.393,11.626238497467705,2.6875999999999998,0.2832900280631142
step100000,100000,13619.2,1151.5732542917103,6898.3318,2712.216273379238,1.5226000000000002,0.8015183341633553
step140000,140000,10086.4,1629.475694817201,-1408.605,2618.9183882062457,8.588700000000001,2.626498469445585
