revision,step,trace,max_eig,stable_rank
step0,0,-10.187500,-0.541000,79.438000
step1,1,-10.812500,-0.541000,83.282000
step2,2,-4.812500,-0.539000,81.876000
step4,4,4.406250,0.564000,75.842000
step8,8,65.000000,0.858000,44.045000
step16,16,71.000000,0.756000,32.369000
step32,32,26.250000,0.442000,16.076000
step64,64,17.250000,0.512000,13.351000
step128,128,13.875000,0.715000,16.871000
step256,256,62.750000,1.434000,19.452000
step512,512,149.000000,3.537000,15.267000
step1000,1000,182.000000,2.862000,46.880000
step2000,2000,378.000000,15.190000,3.279000
step5000,5000,364.000000,-10.825000,7.744000
step10000,10000,508.000000,7.566000,24.310000
step20000,20000,552.000000,9.303000,17.775000
step50000,50000,536.000000,9.705000,17.468000
step100000,100000,1104.000000,42.795000,10.343000
step140000,140000,-6368.000000,-3704.155000,4.617000
