revision,step,trace,max_eig,stable_rank
step0,0,-7.250000,-0.440000,78.125000
step1,1,-5.843750,-0.440000,74.574000
step2,2,-7.406250,-0.438000,79.166000
step4,4,6.062500,0.418000,81.557000
step8,8,51.250000,0.668000,44.821000
step16,16,68.000000,0.654000,36.093000
step32,32,28.750000,0.383000,20.984000
step64,64,15.812500,0.314000,22.503000
step128,128,11.187500,0.525000,23.356000
step256,256,76.000000,4.500000,3.354000
step512,512,227.000000,4.883000,12.818000
step1000,1000,171.000000,4.515000,22.772000
step2000,2000,210.000000,3.294000,33.158000
step5000,5000,238.000000,2.767000,50.380000
step10000,10000,364.000000,5.070000,28.210000
step20000,20000,506.000000,9.393000,13.882000
step50000,50000,696.000000,14.419000,13.340000
step100000,100000,1400.000000,44.040000,14.107000
step140000,140000,916.000000,-4116.344000,4.215000
