revision,step,trace,max_eig,stable_rank
step0,0,764.000000,0.038000,1785.405000
step1,1,764.000000,0.038000,1785.405000
step2,2,768.000000,0.038000,1785.405000
step4,4,768.000000,0.037000,1917.458000
step8,8,768.000000,0.056000,1106.107000
step16,16,772.000000,7.055000,1.386000
step32,32,760.000000,15.966000,1.920000
step64,64,760.000000,17.093000,1.820000
step128,128,752.000000,19.122000,2.362000
step256,256,756.000000,13.928000,6.559000
step512,512,760.000000,9.187000,4.996000
step1000,1000,864.000000,7.781000,5.649000
step2000,2000,1072.000000,13.001000,8.661000
step5000,5000,1432.000000,18.553000,5.697000
step10000,10000,1440.000000,16.748000,5.413000
step20000,20000,1536.000000,18.355000,5.831000
step50000,50000,2080.000000,26.129000,5.549000
step100000,100000,11904.000000,304.019000,7.312000
step140000,140000,50432.000000,1217.363000,5.059000
