revision,step,trace,max_eig,stable_rank
step0,0,6.562500,2.202000,22.789000
step1,1,2.937500,2.205000,17.332000
step2,2,10.750000,2.205000,16.307000
step4,4,1.296875,2.208000,18.820000
step8,8,11.062500,2.238000,19.519000
step16,16,20.250000,2.249000,17.330000
step32,32,40.500000,1.900000,14.227000
step64,64,44.500000,1.147000,14.486000
step128,128,42.250000,1.239000,5.447000
step256,256,151.000000,5.400000,4.561000
step512,512,608.000000,14.771000,4.759000
step1000,1000,1104.000000,7.896000,37.344000
step2000,2000,1296.000000,13.251000,17.274000
step5000,5000,1384.000000,22.315000,7.261000
step10000,10000,1608.000000,27.859000,7.681000
step20000,20000,1808.000000,24.066000,18.044000
step50000,50000,2736.000000,105.133000,4.160000
step100000,100000,-10624.000000,-6449.764000,1.792000
step140000,140000,131072.000000,252420.329000,0.860000
