revision,step,trace,max_eig,stable_rank
step0,0,-4.000000,0.133000,90.540000
step1,1,-2.015625,0.133000,90.540000
step2,2,-2.531250,0.133000,91.423000
step4,4,-1.703125,0.133000,90.982000
step8,8,6.500000,0.132000,92.814000
step16,16,29.000000,0.224000,72.557000
step32,32,40.000000,0.330000,50.792000
step64,64,24.750000,0.218000,46.687000
step128,128,14.812500,0.208000,24.559000
step256,256,33.500000,3.660000,1.604000
step512,512,90.000000,5.412000,4.117000
step1000,1000,157.000000,6.646000,3.349000
step2000,2000,214.000000,5.278000,6.890000
step5000,5000,296.000000,10.816000,2.542000
step10000,10000,404.000000,14.671000,2.073000
step20000,20000,564.000000,21.614000,4.907000
step50000,50000,6016.000000,854.522000,5.189000
step100000,100000,194560.000000,-100724.620000,2.089000
step140000,140000,82432.000000,150353.560000,2.532000
