revision,step,trace,max_eig,stable_rank
step0,0,-65.500000,-4.062000,74.631000
step1,1,-56.000000,-4.065000,74.631000
step2,2,-37.500000,-4.064000,73.589000
step4,4,-23.000000,-4.009000,76.081000
step8,8,61.500000,3.542000,95.866000
step16,16,284.000000,4.713000,44.536000
step32,32,218.000000,1.483000,69.928000
step64,64,94.500000,1.612000,42.909000
step128,128,400.000000,11.102000,5.208000
step256,256,1088.000000,10.906000,21.500000
step512,512,1896.000000,6.038000,114.983000
step1000,1000,1456.000000,6.951000,63.268000
step2000,2000,708.000000,12.448000,9.030000
step5000,5000,470.000000,16.329000,5.092000
step10000,10000,604.000000,10.847000,12.289000
step20000,20000,708.000000,11.075000,16.644000
step50000,50000,1200.000000,14.884000,16.899000
step100000,100000,-7872.000000,-10010.424000,0.429000
step140000,140000,44288.000000,75331.605000,1.328000
