revision,step,trace,max_eig,stable_rank
step0,0,-8.0,-1.321,44.479
step1,1,-6.59375,-1.32,43.618
step2,2,-9.0,-1.32,45.706
step4,4,-17.125,-1.319,43.817
step8,8,1.5625,-1.261,47.405
step16,16,-3.171875,1.094,64.219
step32,32,21.5,1.529,27.055
step64,64,41.75,1.002,19.756
step128,128,38.0,1.101,13.454
step256,256,138.0,3.456,9.386
step512,512,800.0,10.553,15.152
step1000,1000,1168.0,8.113,35.021
step2000,2000,1328.0,11.066,25.222
step5000,5000,1392.0,14.201,17.766
step10000,10000,1560.0,12.771,37.311
step20000,20000,1816.0,-139.33,1.577
step50000,50000,1872.0,-1414.019,1.082
step100000,100000,8256.0,6716.722,1.27
step140000,140000,-745472.0,306720.613,0.32
