revision,step,trace,max_eig,stable_rank
step0,0,128.0,0.004,2853.394
step1,1,128.0,0.004,2853.394
step2,2,128.0,0.004,2868.652
step4,4,128.0,0.004,2853.394
step8,8,128.0,0.004,2853.394
step16,16,128.0,0.005,1953.125
step32,32,128.0,0.007,1933.195
step64,64,128.0,0.068,63.781
step128,128,130.0,0.372,3.317
step256,256,138.0,2.38,2.811
step512,512,147.0,2.57,4.887
step1000,1000,224.0,3.656,3.647
step2000,2000,368.0,6.212,3.602
step5000,5000,552.0,9.021,5.009
step10000,10000,824.0,12.55,4.139
step20000,20000,1328.0,19.854,3.753
step50000,50000,5696.0,127.786,3.93
step100000,100000,163840.0,4407.495,5.456
step140000,140000,250880.0,5039.094,7.354
