revision,step,trace,max_eig,stable_rank
step0,0,-0.7265625,-0.055,72.96
step1,1,-0.2236328125,-0.055,71.023
step2,2,-0.49609375,-0.055,72.314
step4,4,-0.5703125,-0.055,70.377
step8,8,-0.203125,-0.051,83.727
step16,16,0.033935546875,0.056,69.443
step32,32,3.671875,0.131,14.572
step64,64,6.1875,0.224,12.456
step128,128,5.375,0.175,12.946
step256,256,5.75,0.161,13.789
step512,512,17.0,2.94,1.467
step1000,1000,59.5,3.137,6.25
step2000,2000,186.0,6.419,6.043
step5000,5000,432.0,11.541,9.493
step10000,10000,684.0,18.339,10.848
step20000,20000,1040.0,24.754,10.599
step50000,50000,1648.0,-70.349,10.646
step100000,100000,35072.0,75101.404,2.885
step140000,140000,299008.0,169790.953,2.869
